time_s,x_m,y_m,vx_mps,vy_mps,ax_mps2,ay_mps2,speed_mps,accel_mps2
0.0,50.71439802849242,-4.027260576695547,0.0,0.0,0.0,0.0,0.0,0.0
0.1000000000000227,52.08651182057862,-2.065342193246824,0.13639369561058776,0.19502267257153985,0.006785756000528281,0.009702620525949439,0.23798546808420826,0.011840073039018
0.2000000000000454,51.81979218522504,-2.013138436186493,-1.2241921196724446,0.35451809377522203,-0.1912802583979349,0.03276826939271288,1.2744918299785721,0.1940667326766083
0.3000000000000682,51.43089389022685,-1.3503779893867374,-2.54267539721378,3.426775239160094,-0.49659440630694596,0.7538975445841702,4.267081756343201,0.902755510703418
0.4000000000000909,50.99590434519404,-0.9806291015993943,-3.3137603056257934,3.596479726991776,-0.7782749960735481,0.790722734304683,4.890365404527968,1.109483849391038
0.5000000000001137,50.48957093093084,-1.3309390997044643,-3.9854298937712804,1.1972645280689806,-1.1534804167557793,-0.7751260183913538,4.161381235640157,1.3897256622176621
0.6000000000001364,50.009955214541776,-1.5519430274195416,-4.340556190603295,0.04717911180501222,-1.3740426450736793,-1.7617419641468235,4.340812586644959,2.23421752269491
0.7000000000001592,49.08242444504086,-1.656524248852248,-5.981460901513886,-0.43948802040360135,-3.133586566885937,-2.1251112995193235,5.9975848669625,3.7862201213760276
0.8000000000001819,48.33230335806602,-2.2449542893957863,-6.715266031689237,-2.2987057280014307,-3.690230638696498,-4.305244829613129,7.09780571023932,5.670355827431375
0.9000000000002046,48.3171150346837,-1.2271115411376454,-5.001142805686078,1.1890463955323978,-0.815846210629791,1.1013045410770994,5.1405506216352155,1.3705753286835531
1.0000000000002274,47.73605854460492,0.22975392858075483,-5.317651816436094,5.371696822845818,-1.137241413666499,6.67283496158078,7.558607517090563,6.769050484185573
1.10000000000025,48.05444926439829,1.1868252374746269,-2.8761625275740013,7.193031607569137,2.23346622698561,8.195200745218074,7.746742192206315,8.494097164590727
1.2000000000002728,48.18656716571708,1.9440396996414615,-1.4742681216005202,8.003711272350243,3.7108549221090565,8.184118698654672,8.138357366539877,8.986113905721986
1.3000000000002956,48.733027361651395,2.032077576127728,0.7651357425419456,6.738234821467955,5.92094432462102,5.719025188418401,6.781536788498496,8.231939674282483
1.4000000000003183,49.05164638150438,2.155822775092009,1.9186791787889663,5.781222035969298,6.545918761242063,4.017119985042442,6.091293624534553,7.6802542537996885
1.500000000000341,48.65181966122793,2.3602980339415938,1.0006655023020135,5.19132295613526,4.899480639052321,2.9789535617769234,5.286886180200429,5.7340278038802674
1.6000000000003638,48.269760365318604,2.580812371664588,0.27479404261993934,4.736834971637126,3.701392987634022,2.2375432026663153,4.744798975128862,4.325148509901659
1.7000000000003863,49.012467070768,2.860421077525472,2.2392667643339506,4.490878765504156,5.182191700301203,1.8012814190228246,5.018197657357348,5.486321679339223
1.8000000000004093,48.961490570082205,2.910370365849025,2.100250500147816,3.7792690485116567,4.605851591312336,1.019302438541163,4.3236473843746035,4.717292268071837
1.900000000000432,48.74166105087133,2.3348359669187944,1.6145131248099078,1.8782466422529263,3.8209022785791236,-0.6420933846334969,2.476784827012198,3.874477788946691
2.0000000000004547,48.21090410822063,2.7436046323215026,0.57243887956831,2.262831202871473,2.7013967350810804,-0.28930600129370465,2.334114676602283,2.716844177109036
2.100000000000477,48.74277453178763,2.759984759307141,1.728960595984308,1.8331974336450905,3.3629447195152404,-0.5883693408474703,2.51990427857674,3.4140263132794866
2.2000000000005,49.116024143869204,2.8290716784189365,2.4046590456003765,1.568558813413066,3.6038916853983065,-0.7344704330975558,2.871021051250499,3.677972552531837
2.300000000000523,49.07557024150502,2.620310556844417,2.2321786987589856,0.8499329896792036,3.243435081376318,-1.1708980114556535,2.3885158216219518,3.4483145564657245
2.4000000000005457,49.01747598871743,2.4983800163147314,2.044291698066867,0.3866794465362436,2.9127151026321,-1.3943975168969092,2.080540684812169,3.2292806790722595
2.5000000000005684,48.121793847434525,1.3040094972231027,0.4785950625624207,-1.7952988230554523,1.7664901718842225,-2.6551668933495898,1.857996527976686,3.189106263344522
2.600000000000591,47.37151457644368,0.3625779602917657,-0.6480035274064493,-3.2698360756981177,0.9962184099567245,-3.369746681864889,3.333427145366772,3.5139214305781135
2.700000000000614,46.298052779904275,0.16988230306132113,-2.138118946057623,-3.3697768695576156,0.09516407657083148,-3.23539718585503,3.9908581505856713,3.236796433467546
2.8000000000006366,45.65909784886404,0.19767727718483574,-2.7779209881063087,-3.112144888981837,-0.25828491784465957,-2.919043087577977,4.171605305656001,2.9304476869452545
2.9000000000006594,44.567593640650486,-0.20888523104920828,-4.011297422766656,-3.5240767697244393,-0.8904514803717039,-2.981879033792544,5.339440428809545,3.111993960641266
3.000000000000682,42.94323953575846,-0.5422803224541621,-5.8679604969039065,-3.773066713138778,-1.7816414891595596,-2.957074617789435,6.976316564994782,3.4523233757962517
3.100000000000705,42.24490345123215,-0.8925667250321563,-6.191574362721378,-4.009527263672467,-1.8523594639256256,-2.9282686382133316,7.376442365208411,3.4649664935087885
3.200000000000728,41.57698290347146,-1.1980321628406176,-6.4315871759908845,-4.149637653937383,-1.878076118484208,-2.8565712772692873,7.6540712213400095,3.4186502261770797
3.3000000000007503,40.970367943056694,-1.17083661905514,-6.5569876156553315,-3.8151619959602585,-1.849748911234184,-2.5750871252334053,7.586141815658132,3.1705905975314588
3.400000000000773,40.375741536943465,-1.1696758572778627,-6.648243834257254,-3.5455082273085474,-1.8085689188636758,-2.343451887892413,7.534571963267203,2.9601838262422553
3.500000000000796,39.62384785316564,-1.2515463558673294,-6.931223633870466,-3.4076269974587468,-1.8520600930541347,-2.1849314895638527,7.723586137056686,2.8642716704899702
